Week of,Cases,Cluster
2020-03-23,0.0,0
2020-03-23,1.0,0
2020-03-23,0.0,0
2020-03-23,0.0,0
2020-03-23,0.0,0
2020-03-23,0.0,0
2020-03-23,1.0,0
2020-03-30,9.0,0
2020-03-30,7.0,0
2020-03-30,3.0,0
2020-03-30,12.0,0
2020-03-30,21.0,0
2020-03-30,0.0,0
2020-03-30,1.0,0
2020-04-06,0.0,0
2020-04-06,1.0,0
2020-04-06,0.0,0
2020-04-06,1.0,0
2020-04-06,4.0,0
2020-04-06,0.0,0
2020-04-06,0.0,0
2020-04-13,0.0,0
2020-04-13,1.0,0
2020-04-13,0.0,0
2020-04-13,0.0,0
2020-04-13,1.0,0
2020-04-13,0.0,0
2020-04-13,0.0,0
2020-04-20,0.0,0
2020-04-20,0.0,0
2020-04-20,2.0,0
2020-04-20,0.0,0
2020-04-20,1.0,0
2020-04-20,0.0,0
2020-04-20,0.0,0
2020-04-27,0.0,0
2020-04-27,1.0,0
2020-04-27,1.0,0
2020-04-27,0.0,0
2020-04-27,0.0,0
2020-04-27,0.0,0
2020-04-27,0.0,0
2020-05-04,0.0,0
2020-05-04,0.0,0
2020-05-04,0.0,0
2020-05-04,0.0,0
2020-05-04,0.0,0
2020-05-04,0.0,0
2020-05-04,0.0,0
2020-05-11,0.0,0
2020-05-11,0.0,0
2020-05-11,0.0,0
2020-05-11,0.0,0
2020-05-11,0.0,0
2020-05-11,0.0,0
2020-05-11,0.0,0
2020-05-18,0.0,0
2020-05-18,0.0,0
2020-05-18,2.0,0
2020-05-18,0.0,0
2020-05-18,0.0,0
2020-05-18,0.0,0
2020-05-18,0.0,0
2020-05-25,0.0,0
2020-05-25,0.0,0
2020-05-25,0.0,0
2020-05-25,0.0,0
2020-05-25,0.0,0
2020-05-25,0.0,0
2020-05-25,1.0,0
2020-06-01,0.0,0
2020-06-01,0.0,0
2020-06-01,0.0,0
2020-06-01,2.0,0
2020-06-01,0.0,0
2020-06-01,1.0,0
2020-06-01,0.0,0
2020-06-08,0.0,0
2020-06-08,0.0,0
2020-06-08,1.0,0
2020-06-08,0.0,0
2020-06-08,3.0,0
2020-06-08,16.0,0
2020-06-08,1.0,0
2020-06-15,2.0,3
2020-06-15,1.0,3
2020-06-15,0.0,3
2020-06-15,75.0,3
2020-06-15,6.0,3
2020-06-15,0.0,3
2020-06-15,1.0,3
2020-06-22,4.0,4
2020-06-22,5.0,4
2020-06-22,0.0,4
2020-06-22,124.0,4
2020-06-22,8.0,4
2020-06-22,3.0,4
2020-06-22,15.0,4
2020-06-29,2.0,0
2020-06-29,10.0,0
2020-06-29,18.0,0
2020-06-29,6.0,0
2020-06-29,12.0,0
2020-06-29,6.0,0
2020-06-29,5.0,0
2020-07-06,7.0,0
2020-07-06,3.0,0
2020-07-06,3.0,0
2020-07-06,9.0,0
2020-07-06,1.0,0
2020-07-06,1.0,0
2020-07-06,4.0,0
2020-07-13,5.0,0
2020-07-13,3.0,0
2020-07-13,1.0,0
2020-07-13,1.0,0
2020-07-13,8.0,0
2020-07-13,8.0,0
2020-07-13,2.0,0
2020-07-20,7.0,0
2020-07-20,2.0,0
2020-07-20,4.0,0
2020-07-20,2.0,0
2020-07-20,8.0,0
2020-07-20,2.0,0
2020-07-20,6.0,0
2020-07-27,6.0,0
2020-07-27,0.0,0
2020-07-27,0.0,0
2020-07-27,1.0,0
2020-07-27,1.0,0
2020-07-27,1.0,0
2020-07-27,4.0,0
2020-08-03,4.0,0
2020-08-03,1.0,0
2020-08-03,9.0,0
2020-08-03,3.0,0
2020-08-03,5.0,0
2020-08-03,7.0,0
2020-08-03,5.0,0
2020-08-10,6.0,0
2020-08-10,5.0,0
2020-08-10,0.0,0
2020-08-10,2.0,0
2020-08-10,3.0,0
2020-08-10,7.0,0
2020-08-10,0.0,0
2020-08-17,0.0,0
2020-08-17,3.0,0
2020-08-17,1.0,0
2020-08-17,2.0,0
2020-08-17,3.0,0
2020-08-17,3.0,0
2020-08-17,4.0,0
2020-08-24,1.0,0
2020-08-24,1.0,0
2020-08-24,1.0,0
2020-08-24,0.0,0
2020-08-24,1.0,0
2020-08-24,1.0,0
2020-08-24,2.0,0
2020-08-31,12.0,0
2020-08-31,0.0,0
2020-08-31,0.0,0
2020-08-31,3.0,0
2020-08-31,17.0,0
2020-08-31,10.0,0
2020-08-31,0.0,0
2020-09-07,0.0,0
2020-09-07,9.0,0
2020-09-07,0.0,0
2020-09-07,5.0,0
2020-09-07,6.0,0
2020-09-07,13.0,0
2020-09-07,20.0,0
2020-09-14,4.0,1
2020-09-14,28.0,1
2020-09-14,3.0,1
2020-09-14,2.0,1
2020-09-14,39.0,1
2020-09-14,59.0,1
2020-09-14,10.0,1
2020-09-21,5.0,2
2020-09-21,2.0,2
2020-09-21,7.0,2
2020-09-21,0.0,2
2020-09-21,30.0,2
2020-09-21,3.0,2
2020-09-21,0.0,2
2020-09-28,5.0,0
2020-09-28,6.0,0
2020-09-28,6.0,0
2020-09-28,0.0,0
2020-09-28,5.0,0
2020-09-28,25.0,0
2020-09-28,6.0,0
2020-10-05,1.0,0
2020-10-05,1.0,0
2020-10-05,1.0,0
2020-10-05,0.0,0
2020-10-05,3.0,0
2020-10-05,0.0,0
2020-10-05,15.0,0
2020-10-12,0.0,2
2020-10-12,38.0,2
2020-10-12,8.0,2
2020-10-12,2.0,2
2020-10-12,0.0,2
2020-10-12,7.0,2
2020-10-12,0.0,2
2020-10-19,6.0,0
2020-10-19,18.0,0
2020-10-19,7.0,0
2020-10-19,4.0,0
2020-10-19,0.0,0
2020-10-19,0.0,0
2020-10-19,9.0,0
2020-10-26,0.0,0
2020-10-26,0.0,0
2020-10-26,18.0,0
2020-10-26,1.0,0
2020-10-26,0.0,0
2020-10-26,0.0,0
2020-10-26,0.0,0
2020-11-02,12.0,0
2020-11-02,0.0,0
2020-11-02,16.0,0
2020-11-02,8.0,0
2020-11-02,0.0,0
2020-11-02,5.0,0
2020-11-02,4.0,0
2020-11-09,10.0,0
2020-11-09,4.0,0
2020-11-09,2.0,0
2020-11-09,14.0,0
2020-11-09,0.0,0
2020-11-09,8.0,0
2020-11-09,3.0,0
2020-11-16,8.0,2
2020-11-16,12.0,2
2020-11-16,50.0,2
2020-11-16,12.0,2
2020-11-16,2.0,2
2020-11-16,8.0,2
2020-11-16,8.0,2
2020-11-23,3.0,0
2020-11-23,4.0,0
2020-11-23,5.0,0
2020-11-23,8.0,0
2020-11-23,9.0,0
2020-11-23,7.0,0
2020-11-23,2.0,0
2020-11-30,1.0,0
2020-11-30,11.0,0
2020-11-30,1.0,0
2020-11-30,4.0,0
2020-11-30,11.0,0
2020-11-30,3.0,0
2020-11-30,5.0,0
2020-12-07,7.0,0
2020-12-07,3.0,0
2020-12-07,9.0,0
2020-12-07,9.0,0
2020-12-07,10.0,0
2020-12-07,6.0,0
2020-12-07,1.0,0
2020-12-14,3.0,0
2020-12-14,3.0,0
2020-12-14,3.0,0
2020-12-14,7.0,0
2020-12-14,6.0,0
2020-12-14,8.0,0
2020-12-14,4.0,0
2020-12-21,6.0,0
2020-12-21,3.0,0
2020-12-21,4.0,0
2020-12-21,13.0,0
2020-12-21,9.0,0
2020-12-21,3.0,0
2020-12-21,3.0,0
2020-12-28,2.0,0
2020-12-28,0.0,0
2020-12-28,3.0,0
2020-12-28,1.0,0
2020-12-28,6.0,0
2020-12-28,6.0,0
2020-12-28,1.0,0
2021-01-04,4.0,0
2021-01-04,5.0,0
2021-01-04,2.0,0
2021-01-04,12.0,0
2021-01-04,1.0,0
2021-01-04,3.0,0
2021-01-04,0.0,0
2021-01-11,2.0,0
2021-01-11,0.0,0
2021-01-11,0.0,0
2021-01-11,11.0,0
2021-01-11,1.0,0
2021-01-11,11.0,0
2021-01-11,0.0,0
2021-01-18,6.0,0
2021-01-18,7.0,0
2021-01-18,8.0,0
2021-01-18,7.0,0
2021-01-18,18.0,0
2021-01-18,2.0,0
2021-01-18,14.0,0
2021-01-25,3.0,1
2021-01-25,29.0,1
2021-01-25,8.0,1
2021-01-25,18.0,1
2021-01-25,29.0,1
2021-01-25,3.0,1
2021-01-25,3.0,1
2021-02-01,41.0,2
2021-02-01,14.0,2
2021-02-01,22.0,2
2021-02-01,1.0,2
2021-02-01,48.0,2
2021-02-01,11.0,2
2021-02-01,5.0,2
2021-02-08,29.0,1
2021-02-08,19.0,1
2021-02-08,24.0,1
2021-02-08,8.0,1
2021-02-08,0.0,1
2021-02-08,0.0,1
2021-02-08,12.0,1
2021-02-22,5.0,1
2021-02-22,6.0,1
2021-02-22,36.0,1
2021-02-22,0.0,1
2021-02-22,20.0,1
2021-02-22,14.0,1
2021-02-22,16.0,1
2021-03-01,12.0,1
2021-03-01,23.0,1
2021-03-01,3.0,1
2021-03-01,20.0,1
2021-03-01,8.0,1
2021-03-01,0.0,1
2021-03-01,0.0,1
2021-03-08,0.0,0
2021-03-08,8.0,0
2021-03-08,0.0,0
2021-03-08,13.0,0
2021-03-08,1.0,0
2021-03-08,12.0,0
2021-03-08,2.0,0
2021-03-15,6.0,0
2021-03-15,2.0,0
2021-03-15,2.0,0
2021-03-15,0.0,0
2021-03-15,5.0,0
2021-03-15,12.0,0
2021-03-15,2.0,0
2021-03-22,2.0,0
2021-03-22,7.0,0
2021-03-22,0.0,0
2021-03-22,1.0,0
2021-03-22,10.0,0
2021-03-22,3.0,0
2021-03-22,1.0,0
2021-03-29,6.0,0
2021-03-29,5.0,0
2021-03-29,2.0,0
2021-03-29,6.0,0
2021-03-29,3.0,0
2021-03-29,0.0,0
2021-03-29,0.0,0
2021-04-05,0.0,0
2021-04-05,0.0,0
2021-04-05,0.0,0
2021-04-05,0.0,0
2021-04-05,11.0,0
2021-04-05,0.0,0
2021-04-05,0.0,0
